employee_id,hours_worked,tasks_completed,department
E0565,44,8,Sales
E0566,50,11,Sales
E0567,34,7,Sales
E0568,39,7,Sales
E0569,40,19,Sales
E0570,36,24,Marketing
E0571,49,6,Development
E0572,48,22,Marketing
E0573,46,16,HR
E0574,31,18,Marketing
E0575,42,9,HR
E0576,39,5,Marketing
E0577,31,7,HR
E0578,41,6,Sales
E0579,33,14,Marketing
E0580,43,13,HR
E0581,31,21,Marketing
E0582,31,6,HR
E0583,35,6,Development
E0584,36,22,Sales
E0585,34,7,Sales
E0586,43,17,HR
E0587,45,7,Sales
E0588,50,9,Development
E0589,45,25,Development
E0590,34,11,Sales
E0591,45,14,HR
E0592,40,7,Development
E0593,44,11,Development
E0594,32,19,Marketing
E0595,49,23,HR
E0596,48,8,HR
E0597,49,20,HR
E0598,45,6,HR
E0599,39,21,Development
E0600,43,25,Development
E0601,45,10,HR
E0602,50,18,Sales
E0603,49,13,Sales
E0604,37,25,HR
E0605,36,7,Sales
E0606,38,13,Sales
E0607,31,11,Sales
E0608,38,20,HR
E0609,50,21,Sales
E0610,36,12,Development
E0611,30,19,Sales
E0612,35,5,Development
E0613,31,8,HR
E0614,31,22,Development
E0615,40,7,Development
E0616,40,16,HR
E0617,46,6,Sales
E0618,33,11,Development
E0619,37,14,HR
E0620,31,21,Marketing
E0621,32,23,Sales
E0622,41,21,Development
E0623,31,14,Development
E0624,30,24,HR
E0625,44,22,Development
E0626,45,18,Marketing
E0627,33,9,HR
E0628,50,19,Development
E0629,39,17,Marketing
E0630,42,6,Development
E0631,33,20,Development
E0632,44,21,Sales
E0633,48,21,HR
E0634,49,23,Marketing
E0635,37,21,Marketing
E0636,39,13,Development
E0637,38,22,HR
E0638,48,18,Marketing
E0639,39,23,Marketing
E0640,32,18,Development
E0641,50,12,Development
E0642,49,25,Marketing
E0643,31,19,Development
E0644,35,23,HR
E0645,43,12,Marketing
E0646,38,11,Marketing
E0647,38,23,HR
E0648,36,23,Development
E0649,46,22,Sales
E0650,34,8,HR
E0651,34,17,Sales
E0652,43,22,Development
E0653,32,25,Marketing
E0654,35,11,Marketing
E0655,42,9,HR
E0656,31,21,Sales
E0657,45,7,Development
E0658,33,25,Marketing
E0659,44,24,Sales
E0660,32,19,Development
E0661,37,18,Development
E0662,50,22,Marketing
E0663,33,7,Marketing
E0664,30,12,Sales
E0665,38,6,Sales
E0666,40,9,HR
E0667,34,24,Marketing
E0668,42,16,Development
E0669,48,17,HR
E0670,47,20,Development
E0671,37,24,Sales
E0672,42,24,Development
E0673,47,9,Sales
E0674,38,6,Development
E0675,43,10,Sales
E0676,49,7,Marketing
E0677,40,18,Marketing
E0678,39,16,HR
E0679,36,25,Marketing
E0680,35,24,HR
E0681,42,14,Marketing
E0682,31,25,HR
E0683,30,11,HR
E0684,36,18,Marketing
E0685,41,13,Development
E0686,37,25,Sales
E0687,44,17,Marketing
E0688,50,20,HR
E0689,40,21,HR
E0690,38,23,Sales
E0691,33,15,HR
E0692,34,6,Marketing
E0693,37,13,Sales
E0694,32,13,Development
E0695,34,24,Sales
E0696,38,19,Development
E0697,48,22,Marketing
E0698,42,15,Development
E0699,47,8,Marketing
E0700,45,8,Marketing
E0701,46,13,HR
E0702,33,25,Development
E0703,50,8,Sales
E0704,35,10,Development
E0705,48,22,Sales
E0706,37,7,Development
E0707,43,6,Sales
E0708,41,17,Development
E0709,48,21,Sales
E0710,45,25,Sales
E0711,49,10,HR
E0712,44,13,Sales
E0713,34,14,Development
E0714,46,12,Development
E0715,35,13,Sales
E0716,44,18,Sales
E0717,45,17,Sales
E0718,34,24,Marketing
E0719,31,6,Sales
E0720,41,5,Development
E0721,46,22,HR
E0722,44,21,Sales
E0723,33,9,Sales
E0724,46,6,Sales
E0725,31,6,Development
E0726,42,15,Development
E0727,41,23,Development
E0728,47,11,Development
E0729,43,25,Marketing
E0730,40,16,Development
E0731,30,12,Marketing
E0732,42,24,Marketing
E0733,34,7,Marketing
E0734,31,23,HR
E0735,33,23,Development
E0736,45,20,Sales
E0737,45,23,Marketing
E0738,47,16,HR
E0739,35,20,Marketing
E0740,37,6,Development
E0741,32,13,Sales
E0742,36,8,Sales
E0743,32,25,HR
E0744,34,14,Development
E0745,46,10,Development
E0746,45,23,Marketing
E0747,47,7,HR
E0748,48,14,Marketing
E0749,43,8,Marketing
E0750,35,16,Sales
E0751,47,25,Sales
E0752,45,12,HR
E0753,34,23,Marketing
E0754,36,6,HR
E0755,43,6,Marketing
E0756,48,24,HR
E0757,43,8,Development
E0758,32,19,Development
E0759,37,15,Development
E0760,37,22,Sales
E0761,45,21,Marketing
E0762,40,14,Marketing
E0763,36,22,HR
E0764,38,18,HR
E0765,43,11,Marketing
E0766,42,9,HR
E0767,48,15,Development
E0768,45,5,Development
E0769,43,7,Development
E0770,39,9,Marketing
E0771,30,17,Marketing
E0772,44,12,Development
E0773,35,24,Marketing
E0774,50,21,Sales
E0775,44,16,HR
E0776,33,8,Marketing
E0777,32,11,Sales
E0778,30,16,Development
E0779,34,16,HR
E0780,36,11,HR
E0781,46,5,HR
E0782,35,14,Sales
E0783,47,13,Sales
E0784,35,23,HR
E0785,47,23,Sales
E0786,36,10,HR
E0787,42,25,Development
E0788,41,23,Sales
E0789,44,9,Development
E0790,48,5,Development
E0791,40,8,HR
E0792,47,11,Marketing
E0793,34,22,HR
E0794,31,9,Development
E0795,37,13,HR
E0796,42,6,Marketing
E0797,36,13,Marketing
E0798,36,11,Sales
E0799,45,23,Marketing
E0800,36,10,Sales
E0801,43,6,Development
E0802,40,13,HR
E0803,46,9,Sales
E0804,39,10,Development
E0805,35,9,Marketing
E0806,48,13,Marketing
E0807,35,17,Sales
E0808,34,23,Sales
E0809,48,6,Marketing
E0810,34,20,HR
E0811,41,15,Sales
E0812,38,8,Marketing
E0813,31,10,Development
E0814,32,23,Development
E0815,37,14,HR
E0816,35,6,Development
E0817,39,7,Development
E0818,34,22,Marketing
E0819,46,20,Development
E0820,36,5,Marketing
E0821,39,17,Marketing
E0822,45,14,Marketing
E0823,40,12,Development
E0824,31,8,Sales
E0825,37,14,HR
E0826,41,17,HR
E0827,42,16,HR
E0828,41,9,HR
E0829,50,12,Sales
E0830,45,13,Marketing
E0831,34,20,Development
E0832,49,21,HR
E0833,37,5,Development
E0834,33,12,Development
E0835,36,10,Development
E0836,33,20,HR
E0837,46,11,Sales
E0838,42,6,Marketing
E0839,30,19,Sales
E0840,40,11,HR
E0841,31,7,Development
E0842,43,22,HR
E0843,42,25,Sales
E0844,44,15,Sales
E0845,44,16,Development
E0846,39,10,HR
E0847,37,22,Development
E0848,43,12,Sales
E0849,44,14,HR
E0850,45,22,Development
E0851,42,8,Marketing
E0852,30,11,HR
E0853,31,20,HR
E0854,37,8,Sales
E0855,42,13,HR
E0856,32,15,Marketing
E0857,41,14,Marketing
E0858,50,13,HR
E0859,45,16,Marketing
E0860,30,21,HR
E0861,45,16,Sales
E0862,38,17,Sales
E0863,40,14,Development
E0864,32,21,Development
E0865,35,10,HR
E0866,38,8,HR
E0867,43,9,Sales
E0868,46,7,HR
E0869,49,22,Sales
E0870,43,8,HR
E0871,38,20,Sales
E0872,31,22,Development
E0873,30,9,Marketing
E0874,35,13,Sales
E0875,46,8,HR
E0876,31,21,Sales
E0877,34,20,Development
E0878,46,25,Development
E0879,47,19,Development
E0880,42,6,Sales
E0881,38,14,Marketing
E0882,38,22,Sales
E0883,33,24,Marketing
E0884,43,8,Sales
E0885,45,10,Marketing
E0886,47,10,Sales
E0887,40,7,Marketing
E0888,50,18,Marketing
E0889,45,13,Development
E0890,35,9,Marketing
E0891,37,12,Marketing
E0892,33,25,Development
E0893,31,14,Development
E0894,42,5,Marketing
E0895,41,23,Marketing
E0896,43,13,Marketing
E0897,50,23,Marketing
E0898,41,13,HR
E0899,38,7,Development
E0900,36,12,Marketing
E0901,48,18,Marketing
E0902,34,15,HR
E0903,50,14,Development
E0904,32,15,Marketing
E0905,39,13,Marketing
E0906,44,17,HR
E0907,30,5,Marketing
E0908,32,16,Marketing
E0909,50,19,HR
E0910,50,8,Sales
E0911,42,20,HR
E0912,41,5,Development
E0913,40,8,Sales
E0914,48,12,Marketing
E0915,34,12,Sales
E0916,40,5,Development
E0917,47,25,Sales
E0918,50,15,Marketing
E0919,47,5,Development
E0920,41,10,Sales
E0921,50,17,Development
E0922,41,10,Sales
E0923,37,17,Marketing
E0924,38,14,Marketing
E0925,34,9,Sales
E0926,34,22,Marketing
E0927,32,23,Development
E0928,34,14,HR
E0929,39,11,Sales
E0930,47,16,Development
E0931,33,13,HR
E0932,50,24,HR
E0933,33,9,Sales
E0934,32,18,HR
E0935,47,7,Development
E0936,36,18,HR
E0937,43,16,Development
E0938,40,6,Marketing
E0939,37,17,Marketing
E0940,30,24,Sales
E0941,36,9,Development
E0942,42,24,Sales
E0943,38,20,HR
E0944,30,16,Development
E0945,35,12,HR
E0946,42,23,Development
E0947,35,22,Sales
E0948,40,17,Sales
E0949,43,14,Marketing
E0950,43,18,Development
E0951,33,20,Development
E0952,36,8,Marketing
E0953,32,18,Development
E0954,46,9,Development
E0955,43,12,Sales
E0956,48,12,Sales
E0957,30,11,Sales
E0958,30,18,Development
E0959,50,22,Marketing
E0960,38,5,Sales
E0961,43,6,Development
E0962,30,14,Development
E0963,35,19,Marketing
E0964,32,25,HR
E0965,31,23,HR
E0966,42,20,HR
E0967,40,21,HR
E0968,38,11,Marketing
E0969,30,22,Development
E0970,37,10,HR
E0971,32,18,HR
E0972,42,21,Sales
E0973,45,9,Marketing
E0974,40,6,HR
E0975,40,7,HR
E0976,41,11,Marketing
E0977,34,5,Marketing
E0978,31,13,Sales
E0979,32,8,Development
E0980,41,21,Marketing
E0981,49,18,Development
E0982,44,21,Marketing
E0983,31,19,Development
E0984,35,5,Development
E0985,43,15,Development
E0986,30,8,HR
E0987,38,24,Marketing
E0988,32,10,Marketing
E0989,30,19,Marketing
E0990,48,6,Marketing
E0991,38,8,Marketing
E0992,36,19,Marketing
E0993,42,18,Development
E0994,36,5,Marketing
E0995,50,16,Sales
E0996,33,24,Development
E0997,34,15,Sales
E0998,41,21,Marketing
E0999,39,13,Sales
E1000,30,20,Sales
E1001,33,12,Sales
E1002,44,21,Marketing
E1003,50,5,Development
E1004,47,24,Marketing
E1005,45,17,HR
E1006,47,15,Development
E1007,43,19,Development
E1008,40,24,HR
E1009,46,9,Sales
E1010,38,16,Marketing
E1011,43,10,Sales
E1012,34,9,Development
E1013,41,12,Sales
E1014,39,13,HR
E1015,31,7,Sales
E1016,30,6,Development
E1017,50,20,Sales
E1018,37,7,HR
E1019,45,11,Sales
E1020,39,5,HR
E1021,48,23,Development
E1022,45,14,HR
E1023,48,20,Marketing
E1024,37,7,HR
E1025,41,18,HR
E1026,32,7,Marketing
E1027,46,24,Sales
E1028,30,21,Marketing
E1029,50,22,Sales
E1030,43,17,Development
E1031,43,12,Development
E1032,43,22,Marketing
E1033,34,11,Development
E1034,50,9,HR
E1035,42,23,Marketing
E1036,43,22,Development
E1037,48,15,Marketing
E1038,40,23,Sales
E1039,37,22,Development
E1040,43,11,Sales
E1041,39,11,Marketing
E1042,35,10,Development
E1043,35,7,Marketing
E1044,40,19,Sales
E1045,32,22,Marketing
E1046,34,22,Marketing
E1047,43,14,Marketing
E1048,49,25,HR
E1049,40,23,HR
E1050,32,21,Marketing
E1051,32,16,Marketing
E1052,38,24,Marketing
E1053,38,21,Marketing
E1054,32,12,Development
E1055,37,21,Marketing
E1056,47,14,HR
E1057,32,19,HR
E1058,38,9,Development
E1059,33,5,Marketing
E1060,38,5,Sales
E1061,39,22,Sales
E1062,44,25,Marketing
E1063,47,18,Development
E1064,48,9,Marketing
E1065,37,16,HR
E1066,30,5,Sales
E1067,46,16,Marketing
E1068,47,18,Marketing
E1069,39,6,Sales
E1070,40,15,HR
E1071,45,7,Sales
E1072,34,14,HR
E1073,46,18,HR
E1074,45,7,Marketing
E1075,34,8,Marketing
E1076,42,21,HR
E1077,38,11,Sales
E1078,40,23,HR
E1079,38,20,Marketing
E1080,45,25,Development
E1081,40,10,Development
E1082,35,13,Sales
E1083,46,21,Sales
E1084,37,23,Sales
E1085,46,18,Development
E1086,39,22,HR
E1087,48,20,Marketing
E1088,47,15,Development
E1089,44,15,Sales
E1090,39,16,Marketing
E1091,46,20,Marketing
E1092,31,19,Development
E1093,37,24,Marketing
E1094,50,17,Sales
E1095,36,7,Marketing
E1096,46,5,Development
E1097,41,10,HR
E1098,50,23,Marketing
E1099,31,12,Sales
E1100,31,11,HR
E1101,33,7,Marketing
E1102,38,5,Marketing
E1103,30,13,HR
E1104,49,12,Development
E1105,39,25,Marketing
E1106,40,25,Marketing
E1107,30,14,HR
E1108,38,6,Marketing
E1109,49,17,Marketing
E1110,38,12,Marketing
E1111,30,25,HR
E1112,35,5,Development
E1113,43,22,HR
E1114,31,21,HR
E1115,48,10,HR
E1116,45,18,Marketing
E1117,49,19,Sales
E1118,35,10,Development
E1119,33,24,Development
E1120,39,22,Sales
E1121,32,22,Development
E1122,37,24,Development
E1123,49,7,Sales
E1124,41,14,Development
E1125,46,17,Marketing
E1126,50,25,Development
E1127,34,25,HR
E1128,46,18,Marketing
E1129,42,14,HR
E1130,34,25,Sales
E1131,39,13,HR
E1132,48,11,Sales
E1133,39,13,Sales
E1134,37,14,Marketing
E1135,42,12,HR
E1136,30,11,Development
E1137,34,7,Sales
E1138,44,17,HR
E1139,33,20,Marketing
E1140,38,10,HR
E1141,48,13,HR
E1142,48,13,Marketing
E1143,31,13,Development
E1144,44,11,Sales
E1145,32,5,Sales
E1146,41,14,HR
E1147,35,5,Development
E1148,48,23,Marketing
E1149,30,12,Sales
E1150,46,25,Sales
E1151,45,16,Sales
E1152,46,24,Development
E1153,31,25,Sales
E1154,30,17,Development
E1155,31,10,Development
E1156,32,16,Sales
E1157,38,21,Development
E1158,33,11,Marketing
E1159,34,14,Sales
E1160,42,10,Development
E1161,45,11,Development
E1162,44,22,Development
E1163,50,7,Development
E1164,31,10,Sales
E1165,50,23,Marketing
E1166,34,10,Development
E1167,48,7,Marketing
E1168,43,20,Sales
E1169,50,16,Sales
E1170,42,21,Sales
E1171,49,10,Development
E1172,47,10,Marketing
E1173,41,20,HR
E1174,30,15,HR
E1175,34,17,Sales
E1176,35,6,HR
E1177,48,17,Marketing
E1178,48,5,Development
E1179,39,5,Development
E1180,43,23,Development
E1181,30,18,Development
E1182,31,20,HR
E1183,47,12,Development
E1184,40,22,Sales
E1185,47,16,Marketing
E1186,33,14,Marketing
