Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
12400,7.586425,-4.095886,6.20292,-5.157394,2.140828,-3.611113,-4.397889,3.534354,-0.792931,4.842247,4.746806,6.175008,-6.323379,9.095873,-2.763061,-3.459618,-8.432445,4.552101,-1.291774,-7.976101,-5.139163,-1.040907,8.32256,-7.762032,-1.740204,-0.273248,-5.926875,8.771648,206.56,1
58063,8.215887,1.254886,-5.003196,4.734418,-8.787129,-6.956833,8.957467,-6.148559,7.958041,-6.730079,-3.066597,-0.22201,8.276876,-2.948705,-5.27014,-8.180056,7.238559,8.98205,3.212625,-2.292041,-0.824629,-1.525397,9.228487,3.974036,-6.487336,-3.391742,-8.6482,-1.04018,338.01,0
152314,-9.005001,1.156705,6.034077,-0.661363,-8.109472,-3.419083,-5.826067,-9.874856,-4.783097,-3.003444,6.488995,-2.578864,-3.984722,9.696613,-9.902269,1.12872,-7.567185,-7.751691,-4.600491,-5.400447,-8.373225,9.112868,-5.86021,0.497168,9.505854,-4.163385,4.260563,-6.74314,869.92,0
145269,0.988467,-4.32893,-2.361195,-8.533458,-2.919828,-8.046756,2.687185,-1.504518,6.536269,7.599455,-3.253859,-8.727162,-8.944949,3.702109,-4.12887,-1.465765,7.735146,8.890976,3.302588,-6.976739,9.23476,-5.353687,8.891045,-0.65009,1.455238,0.372388,-6.332296,-9.741934,389.49,0
20198,-7.221471,-8.153334,0.165448,5.062535,-2.053184,6.947045,-0.059474,1.6972,-7.757733,6.497276,6.381123,-1.670739,4.950583,-6.215382,-7.986274,-4.005273,6.402012,5.247234,5.652437,6.877192,2.989543,-7.522863,1.198941,2.217839,-7.314137,2.020831,3.398902,3.685829,428.59,0
104966,-5.490486,3.539062,9.285343,9.787693,-7.122986,-4.542262,4.654468,-5.216789,6.523392,5.853901,-7.041889,-5.301972,2.27136,3.844635,-3.154158,-0.122971,3.792628,-5.523292,3.024218,-5.573892,-5.295427,-6.902878,1.3638,7.946806,-3.013475,-7.671782,0.939578,7.52661,329.56,1
135029,-7.880189,0.026534,-6.84495,-5.441469,-9.747736,-3.17185,5.116103,6.583323,8.707241,8.517847,4.221148,4.755113,-4.699157,-5.262496,-6.763139,6.646927,9.459455,7.814934,-2.983192,6.628231,-0.02029,-3.808282,-4.739443,6.478387,1.272907,1.849902,-2.207057,-2.376321,45.72,0
156198,8.165712,-7.760862,1.55794,-7.339354,-1.690888,6.106253,0.30915,9.30377,-1.476696,-7.509312,-1.437845,-5.783597,0.707681,8.031358,2.309658,3.881191,-5.381495,2.991177,4.67463,7.160961,3.028413,1.153639,-6.752773,6.409552,-3.831539,0.354972,4.767228,-2.428726,803.35,1
141529,-3.772228,-4.237858,-0.388054,6.203489,-6.85964,-9.926205,8.212245,3.847216,0.02123,8.887831,-8.226218,5.222977,-8.119479,9.289903,6.570523,-5.632078,6.113049,-3.729994,-5.369052,3.82498,-9.011862,-2.3158,-5.26734,7.133532,-8.577278,4.657688,6.69379,4.968561,156.25,1
140718,4.115877,7.841684,-5.140722,9.853733,-8.013839,9.638954,3.21461,-1.020341,-8.49227,8.186063,-9.207253,-9.992872,-7.001897,5.722958,9.145302,0.269397,3.640133,-1.828295,2.219045,-7.090221,-9.986162,9.969339,-7.350865,-0.340647,8.478651,-5.84722,7.974405,-8.835947,341.29,0
144343,-3.331131,3.189668,5.622624,-6.037127,6.090516,9.484289,0.930599,8.729989,-6.369091,5.055491,-1.673486,2.038139,-0.441715,9.969227,-7.920192,4.595043,-8.65189,3.23731,-2.731517,3.85912,9.04813,-6.80807,-3.142209,3.272778,4.555753,-1.023205,0.341539,-4.35726,625.07,1
73266,-3.046559,7.357773,-4.879706,9.869524,-8.39433,-3.238675,-3.369206,-1.56269,-4.746223,-3.303813,-1.031641,-1.802639,-6.62673,-0.927651,-3.685317,-0.615532,-9.674106,3.795138,3.98678,5.063173,-8.850808,-5.593655,9.094188,0.681018,6.543104,1.159477,0.556833,3.193004,936.14,1
89496,-2.766562,-9.401728,1.276093,3.665353,3.433411,2.219928,-7.805871,-0.130745,6.158602,-8.424916,0.439657,-9.943917,-5.450568,-1.055918,0.057051,-7.363955,0.874954,4.808949,3.7336,-3.470451,9.598549,-5.79608,-5.767491,-0.718953,-2.166387,-0.912328,6.087711,3.850363,631.51,1
80908,4.3022,-9.523585,-9.990083,-1.866971,-3.443045,-1.676752,3.422402,6.138117,-5.162536,5.548976,2.160937,-4.455678,-5.684502,-5.220253,0.363002,2.880212,-6.465538,1.709511,-2.355045,0.404169,-2.712771,4.931352,8.39078,0.366361,-9.497909,-2.283688,3.149879,-5.697843,670.13,1
124654,4.520117,-3.143095,-2.026296,0.287776,-8.873403,9.435761,-4.024771,-0.492514,-7.936989,-8.22867,-5.850725,-6.75315,-0.167036,0.300435,1.426096,7.783486,-6.181101,-6.521206,-8.715698,-2.949411,-7.336976,-7.104155,-7.78572,-9.066663,-7.652979,4.239772,-2.421932,5.276593,469.32,0
166652,5.589328,-4.335239,-2.644568,-6.516877,-1.943826,9.919233,9.860943,3.575877,-4.932669,-0.417022,-9.847727,3.667558,0.234309,9.371931,-9.167798,-6.063182,3.611013,-8.836346,-5.871165,5.047504,7.614684,-7.205036,-7.382186,-2.286469,-8.961315,7.786516,0.711801,8.264361,907.23,0
33453,-1.678475,0.428057,9.337779,-2.260008,-2.496365,5.064091,3.580779,-3.651863,7.131777,-7.535608,1.289623,4.334554,-7.096428,1.094256,-6.055058,6.247574,-7.799621,-1.871141,-0.243767,-6.480406,7.538848,-0.946375,7.019699,-8.30944,-2.326566,-7.416564,0.996063,-4.348448,470.09,0
136015,6.541772,-1.450384,6.230481,3.677,9.007274,6.333112,1.481863,9.228942,0.175213,7.939053,-5.511788,3.226644,1.997453,2.573493,6.733445,8.991959,3.852259,-6.253237,9.869644,-3.55395,0.005479,8.620968,6.278382,-1.297499,-4.313634,-4.122282,-2.007627,6.408375,860.52,1
149473,1.839718,2.46087,5.165842,7.581035,-0.423774,-2.860163,2.16736,-4.707456,-4.526478,-9.559368,1.221096,-9.452364,-3.316323,-9.577794,3.578115,-3.262786,-2.333945,-4.426332,-0.567409,-7.840573,-8.094765,-4.319229,-6.025068,6.089215,0.387595,-3.992404,4.827505,-0.181125,169.17,0
139783,1.732621,1.906634,-1.491582,5.074643,-9.292273,-1.685052,-6.111046,-1.817524,-1.202607,-4.793017,-0.52536,0.760693,-0.734623,6.474955,-4.382417,-3.301885,3.053712,9.326356,6.565666,-6.807532,8.336918,8.824159,0.242557,3.885568,4.896465,-6.704841,-1.250857,6.505901,938.76,1
98378,-6.54337,4.612785,8.326454,6.824126,2.518101,5.72279,2.180186,-0.407013,8.234459,-5.542951,0.757679,1.82521,-9.078912,-8.246754,-2.276772,-4.168429,5.05658,5.533733,2.428617,-6.579724,6.432881,-5.1676,7.228948,7.547183,-9.839015,-6.670928,2.28381,9.614919,650.6,1
74716,3.671165,-2.610866,-9.577735,-5.453748,-5.300762,-9.27599,-0.913435,7.627406,1.329765,9.079082,-5.224338,2.137003,0.94717,0.582549,-6.113625,3.714833,-3.613324,-4.175435,4.752653,7.22966,-2.098353,-8.514642,3.373966,-0.928071,-1.827122,-2.268859,-7.03783,5.504862,954.87,0
13221,0.167137,9.35975,3.076427,-3.901941,6.700123,7.169936,-3.415098,3.267365,-3.926165,1.872055,7.292409,3.571601,-8.300658,-7.350946,5.185361,-1.600352,3.143992,-4.57201,-5.443843,-1.722608,6.540381,-0.261489,5.438289,8.169781,-2.372408,-5.750038,9.347501,-6.243031,378.12,1
106741,7.755029,-7.471731,8.116451,-1.059735,-0.06269,5.110044,-3.94014,4.066751,0.763718,5.480304,-5.160798,-0.902488,4.346708,4.819193,-2.985946,4.758613,-5.813946,7.963899,-8.572533,-5.353404,4.479812,-1.638737,-9.306268,9.020151,5.301199,8.862828,-8.57789,6.836324,121.17,1
71394,-8.257117,-0.294543,-0.031653,5.636856,-6.906226,-2.684956,2.333342,9.629848,4.242132,-4.584984,-1.155561,9.908835,-3.264826,-6.414938,-8.658898,-7.013759,-6.679252,-5.900486,-7.481062,-5.031893,8.170396,-5.415013,-8.846099,2.042917,3.920256,-7.645091,-1.559547,-2.89944,782.97,0
60794,-2.12441,7.324745,5.499448,8.347109,1.659254,9.638381,6.605773,-0.805928,-8.615238,7.718436,-9.024985,0.822051,9.112544,6.439611,-9.533157,-7.417127,7.002679,-5.057473,-1.830877,5.795967,5.444618,-3.450855,2.120003,-8.262114,1.635824,7.223567,-4.888579,-5.647255,988.13,1
73649,-9.826636,8.92011,-0.728319,7.491222,-4.440772,2.167976,7.309216,-2.398059,7.246642,-3.384866,3.828597,-8.461817,-6.262649,-8.919705,-6.338638,1.05524,-6.815072,1.03542,-6.696453,-6.491951,3.758048,2.513269,0.708504,3.834717,1.248512,6.068285,0.859359,8.552548,802.38,1
37053,-6.940597,-6.068077,-8.708089,2.679265,6.297663,2.981049,1.531035,-6.174441,5.224029,3.001271,4.117312,-5.411845,-7.324213,-5.481177,2.527786,-1.729278,5.94456,4.431292,0.817946,6.381634,3.996942,-6.60826,8.201069,4.763731,5.852148,-7.888706,5.599194,-7.923047,865.39,0
33163,5.395033,-3.661913,0.297537,4.934117,1.805495,-9.161905,6.377147,-1.78661,-5.207537,-5.216845,-2.754367,-2.006103,0.632886,-6.927907,-2.497787,2.264271,1.382689,4.616958,4.328668,-3.511025,-9.081155,-1.745805,2.341194,-9.018948,6.824319,0.85109,3.369808,6.639196,766.79,0
8605,-4.088316,-2.027716,3.637863,-0.774277,-7.612071,9.666852,-5.419278,1.875915,-4.631632,0.433709,-3.610737,-3.45357,-3.51164,5.752189,-1.24239,-2.912873,9.978,9.713043,-5.285428,-4.357438,-7.233104,9.15276,-5.985382,4.902209,-7.784721,7.692349,5.846094,4.108199,491.27,0
164143,-9.90516,-4.749143,-1.397876,-7.945602,3.893271,4.866096,-3.280159,3.808833,-7.60438,5.455776,2.809145,6.423783,-0.862654,1.885953,4.889508,0.246096,6.779849,6.804968,4.654071,-7.119997,1.585226,0.21761,9.979254,-1.911987,-7.29902,8.168039,8.3861,-4.910824,469.6,0
160713,0.255151,-2.186776,-2.772586,-9.745864,1.539183,0.199639,-2.39821,1.551404,-5.392685,-0.360119,-7.091035,-6.735213,-1.049686,6.997884,2.615836,-7.498389,4.5138,9.886094,2.785955,9.954657,-4.104513,9.845214,-0.821479,1.497625,-0.272465,0.068294,0.102548,1.43564,200.68,1
126407,3.452335,5.967531,-8.272737,-4.036294,-1.425003,-2.099404,-2.79601,3.274667,-4.372434,-8.14207,-5.870233,-2.016269,-8.658413,-6.701875,-3.083805,8.078687,8.646617,-3.237581,6.300067,-7.126607,-5.204449,9.193637,5.755426,-1.667187,-6.646879,0.193738,-9.692829,-6.296465,265.48,0
4191,-9.04075,-0.011436,-7.239019,3.677526,3.858021,3.524643,-6.658408,6.930661,2.379138,-7.433518,4.899478,-2.985261,-4.607307,2.519773,1.395116,-3.044405,1.908884,5.892885,-8.117955,9.895838,5.864076,1.497171,4.608247,8.212067,9.167476,-2.260509,-5.237839,-1.61415,765.29,0
11405,4.571421,-4.88358,-2.204048,-3.409461,-5.936854,-3.315538,-3.127001,-6.275301,2.074188,6.087282,-2.66538,3.642051,-0.535197,-2.832758,-4.448129,-6.685604,6.902751,9.264725,-9.000969,-4.31689,5.708692,4.934808,-3.011644,0.506986,5.458808,-7.049915,6.706804,-6.85941,82.92,0
11900,-7.886716,-7.199997,1.680341,-7.671128,4.742902,6.940521,1.817972,-2.115122,2.590679,-6.472981,1.739238,3.083902,-4.363747,4.383473,9.025211,-0.495019,3.535732,1.414067,8.983832,-6.970298,-5.003146,-5.788029,-8.077142,3.362128,-9.077841,-1.584894,6.455981,3.876573,534.91,1
119632,-5.71259,0.888548,-0.539106,-2.796974,8.61166,0.434755,-4.073125,-6.519648,-6.116846,6.649805,1.766737,-1.448646,-0.358855,-0.673826,7.883448,6.178402,9.228721,2.781166,3.835712,-3.849245,-5.876156,-3.68572,-3.661119,3.219241,-4.079573,6.204683,-4.830612,0.313388,125.51,1
100995,-5.657148,8.831487,-4.469704,-1.79702,-6.692266,-9.014294,2.153072,7.941638,-2.745339,-5.612437,-6.648929,-6.390995,-5.209003,-7.052566,-3.094355,7.235301,1.307462,6.543075,1.335153,-6.315058,-8.893339,-8.68966,0.768599,-8.313857,-8.363346,2.459379,7.773998,-6.710967,60.0,1
7578,-9.866958,6.04962,-5.457585,5.905556,-0.846261,6.816576,1.521483,1.745608,-6.991765,-0.374481,-9.373312,-9.92424,5.185961,-6.215654,3.055694,-3.71995,-4.057547,1.817065,3.98911,-9.718053,-6.856352,-8.22108,-0.024687,7.228016,-8.096563,-9.141355,3.416568,-3.596804,904.93,1
84745,9.359496,-3.980656,5.198673,-5.21164,8.495382,-2.854936,-6.876897,7.361274,-1.568782,-1.869479,-2.959674,-5.252683,-7.663722,-3.053794,-6.770193,-5.127414,8.34963,2.114563,-6.936514,-4.3263,2.939027,-3.524918,8.515108,-7.818272,-7.167481,-8.735673,-2.702971,4.681267,997.56,0
67583,4.204732,-2.888766,0.559118,-6.279611,-4.785108,6.583789,5.774048,8.46517,-0.362541,-4.116466,2.948932,1.0643,6.839988,-8.955088,-3.035143,-9.973255,-4.463848,5.578577,-6.399396,-0.064839,-5.183587,-7.402902,-2.412169,-4.630467,-0.561449,-1.814455,1.441115,5.287245,881.4,1
134157,0.830156,-4.447434,1.271874,-7.040976,5.444638,8.99087,1.393874,0.639746,-4.025729,9.69325,-5.609914,7.874319,-8.163847,7.030846,2.943367,5.23018,-6.942819,6.706434,1.345457,5.780575,5.538766,-0.95941,-9.656123,-0.188577,0.422419,-0.670461,4.502936,1.425357,929.93,0
132889,2.807822,9.948605,-6.1241,-0.548125,-9.516521,5.820012,-0.851509,3.494732,-5.201583,2.63185,3.754089,7.320894,-1.380694,-0.997298,7.224338,-3.470839,6.644261,-9.2146,-4.316348,-4.876767,-0.452691,-2.221619,1.920807,9.212396,-1.835268,-8.264587,3.150094,-8.306232,789.7,0
36158,-2.552688,0.93236,-1.393466,-1.575317,-6.385119,0.113229,-3.91882,0.462562,-6.814434,-1.411524,2.734678,-8.775672,-3.679478,-0.487881,6.356854,-0.854709,6.69399,9.694857,-9.846464,4.791131,-1.341175,5.994953,7.567682,-0.828824,5.717603,-2.322608,6.5519,2.688595,632.36,1
42667,-8.077566,-6.731781,-2.498364,-9.467016,7.072246,-0.661304,9.605411,-7.154875,6.697655,-0.053424,9.441448,9.81045,-7.007666,5.856645,0.705428,-9.947822,-2.70217,9.409858,-0.349471,-6.627305,-1.334305,8.291353,5.645186,-2.40575,5.225856,4.697422,-7.938526,2.745292,847.39,1
110981,3.738411,-2.954605,-4.492504,-7.763039,7.208515,5.082915,-1.754952,-8.364218,3.257525,-4.457432,8.216964,-3.470563,7.457746,-0.706188,-4.272501,-5.901242,0.285974,-5.265089,9.398431,8.098832,9.005888,-3.71933,6.118943,-4.120126,5.880177,7.790959,0.255553,-2.769586,255.77,0
138751,2.329045,-3.474291,0.64778,5.935145,-2.035746,4.473806,-9.751644,-2.406649,-1.385826,3.193023,9.471853,-0.523089,6.050898,-1.6856,-2.075691,6.028918,5.224293,-9.218465,5.835606,5.611549,-8.72254,7.485058,-8.54067,-0.395673,-4.746283,-8.981526,3.002801,1.181812,829.17,0
151046,1.930451,-9.094988,-5.355427,-9.290009,6.567288,6.650885,7.887484,6.478483,-4.84946,4.768867,3.97745,-8.046898,-6.548915,-5.295599,-2.740602,6.153073,-3.153959,3.435044,-6.026746,-8.002656,-7.143536,3.439568,-3.562629,-8.375086,-0.597844,-2.350464,-4.001478,3.164271,799.74,0
105886,-9.755672,9.421018,-8.06539,1.629231,5.720903,4.862917,-1.869797,-0.25374,-1.426169,2.049474,-7.462343,7.064741,8.783238,-2.881964,-1.870065,-6.006423,4.591289,-7.243275,0.069912,1.91572,-6.97828,-6.333635,7.900762,5.107081,1.042149,-5.482491,4.031005,6.586638,939.24,0
74101,-4.758257,-1.367097,2.163594,8.243071,-2.246081,-7.160311,1.681259,8.028969,9.42103,-8.711049,-1.083104,-9.133932,-1.718318,6.44739,-5.193656,7.58115,4.010704,0.953227,5.595319,2.221824,8.558792,2.537643,-3.894203,-4.307612,-1.199127,8.108936,-1.246851,1.976132,919.27,1
122785,6.284392,9.189767,-8.90113,1.685975,-6.591361,8.443206,0.779907,-5.188654,8.991244,4.176618,1.709566,8.388826,-9.779429,5.276774,-9.532611,-4.97373,6.699604,5.696333,-8.232489,-0.6471,3.722537,-2.053524,-4.093677,-9.719436,-0.424173,1.992977,7.46445,2.74288,559.15,1
17209,-4.469214,4.307868,0.247767,-8.861641,-5.791871,-9.730019,-9.921468,-7.891875,3.034979,-8.796658,-4.26204,-2.764764,-1.692155,-2.025856,-9.443055,2.398327,7.203272,2.140467,-4.255547,5.327326,-5.046328,-1.463314,-7.034985,-3.113487,-8.506049,-9.662408,2.949559,-4.881521,639.05,0
56684,-4.652308,7.940246,1.258551,0.270317,9.304323,6.158065,7.045163,-9.569819,-3.930589,5.779213,6.697206,-8.368086,-8.554915,1.9002,-8.732095,8.53246,-8.082687,-7.93996,1.187483,7.972369,-0.692322,-0.38562,-5.890241,4.498449,-3.923134,3.734363,-7.247386,-3.151022,87.7,0
118060,-8.391375,-0.162728,-2.433048,8.871505,2.591394,5.030436,-7.265195,-8.294574,-0.370396,-5.638378,0.331959,6.827857,4.241273,0.20341,-2.533772,-6.530301,4.551473,-8.421495,0.069658,-8.716431,0.728876,-5.966078,-9.684983,5.736282,3.132813,-5.21143,1.292519,5.295176,572.13,1
143350,-6.052505,9.696336,6.688598,4.760732,5.956246,-1.378283,-9.518643,0.034533,2.484886,5.573252,-3.421638,-6.555386,-7.235914,-7.26552,6.043066,2.288462,-3.045272,9.557652,-1.768211,8.962935,3.057319,3.414859,-8.543355,4.447631,7.642989,-5.543069,4.197486,-5.837913,360.39,1
69152,7.184466,8.272121,-0.749254,7.216839,1.043698,7.07173,-7.55481,6.14043,-3.884346,-8.773835,-1.035835,9.415014,9.257818,4.406356,-3.718575,-5.707544,4.464812,-3.475713,0.318053,9.616371,1.422977,6.41385,-6.522407,1.485713,3.215163,-1.156111,8.133173,-9.807015,68.59,1
111182,9.334572,-1.083184,9.862812,-1.31323,-8.101886,-0.37194,-1.403505,6.65739,-8.808724,-7.981591,1.871286,-4.719271,-8.784274,-7.980906,1.339642,-2.673039,1.131965,-6.740468,-1.751732,6.326083,-5.66626,8.083605,8.323269,-5.267445,-9.602253,-5.072719,-7.391938,3.862788,827.93,1
41366,-4.32392,-5.56565,-1.854175,-9.510712,-2.239761,-0.074805,-6.92787,-9.31318,-4.504495,-6.920664,-7.58861,2.35139,-6.536967,2.811427,-6.826938,-0.27504,-7.015412,3.874838,3.011221,-6.223774,5.87568,-8.101266,0.273965,-6.873339,-7.222857,2.724428,4.129201,-3.14279,707.31,1
62400,-9.116459,1.910706,1.553737,3.336518,0.863948,4.576386,3.470475,2.006412,-9.482654,1.477836,-6.708168,2.595647,1.940497,2.195508,-9.294129,2.952119,5.031901,0.262318,2.800716,-4.353468,-2.353239,7.117006,-3.847554,-6.535778,0.910859,5.013633,-9.241457,5.276289,682.94,0
68711,1.890442,-8.937761,-3.153584,6.634583,-7.858572,-4.382732,1.662855,1.017465,6.739786,-0.421148,4.413518,-1.076407,5.097999,0.731014,5.334647,-6.24117,6.634263,1.833358,3.203867,-2.980776,0.875741,7.065495,-7.928575,2.243541,-1.459507,3.474334,-9.342397,4.709497,257.74,0
15370,-2.217633,-1.660759,-2.228304,-7.857402,-6.387646,3.178794,0.292342,-7.432207,-8.125557,9.401061,-1.186065,1.847216,8.299682,7.472525,8.904654,2.560369,2.306347,9.039443,-1.581019,-5.379055,1.817016,-6.827391,0.196895,-4.719523,1.459138,-8.719486,5.579029,9.480454,295.1,1
29016,-0.913826,2.348006,8.931312,8.409527,-7.910477,-1.938855,3.837862,1.56693,-3.505264,-5.69745,0.879619,-4.336481,-8.497728,-8.0564,0.887473,4.008738,-9.397464,-3.691012,-1.744051,7.574582,2.472949,1.716228,6.468784,-2.161633,3.039278,3.440927,-8.806905,-8.747855,687.18,0
138172,2.602237,-6.544051,9.500545,-9.13543,-5.976062,0.962884,-7.422461,1.018927,-5.788611,-2.208212,-6.44913,9.373114,-7.216874,9.091984,8.32214,-5.340799,6.519434,-9.923511,1.159073,-9.767799,-7.74884,-5.620095,-8.01921,0.58415,7.31538,4.534791,-3.804409,-1.098579,851.22,0
21745,1.265593,-0.223068,-3.488498,7.849662,-3.598033,7.695307,-5.907019,-3.5249,-8.404654,4.673106,-0.855323,1.157262,-5.054938,-0.305085,9.423244,-2.636627,0.04877,4.869563,5.347122,-0.885199,-3.786805,-1.717686,2.412032,9.854833,3.757871,-3.08814,6.652339,-4.335491,405.29,1
22042,-5.429878,5.131291,6.345327,-4.642964,-8.430289,-2.501679,-0.118413,8.943927,-6.688236,-9.495448,3.894555,-3.581446,7.522897,-9.599304,-5.42663,3.932153,-7.163094,1.786457,4.075071,-1.322123,-8.544297,8.962124,2.219024,-2.789658,-5.030549,-8.302859,2.741342,9.630622,311.9,1
66372,-4.822312,1.335269,-1.603697,3.053926,0.416685,0.124611,0.973249,-1.689015,4.390816,0.947804,-1.063445,1.497828,-4.320952,8.150266,-0.394127,-0.771489,8.918412,-5.863259,3.240448,8.590305,-1.720138,8.962877,-1.874068,-7.86429,0.109401,2.185982,-5.941151,-3.812377,966.86,1
117262,3.828144,-1.448645,-6.930992,8.965687,-1.690231,7.701481,0.514288,5.962869,-6.682711,0.835504,-3.643672,6.33552,-0.761435,-2.070393,-0.238462,1.292321,-8.988691,6.547591,0.809052,8.398534,5.377279,5.987814,9.87224,5.223409,-5.013032,0.025833,-7.275056,-2.518583,655.61,1
11183,-3.850136,-7.455192,-1.750897,-0.576528,9.92802,-8.888621,-1.273118,7.244501,3.702255,0.594653,5.43156,7.742591,9.920626,-6.874894,-1.249558,-8.627447,-6.905073,-1.349299,-4.822876,4.130266,-0.447701,-5.943434,-7.321099,-7.427224,0.060037,2.383607,9.239265,5.613742,859.18,0
21676,-6.40926,-5.394266,-6.781756,-7.537134,7.059135,2.422707,0.045904,-6.25473,-7.644643,7.005383,-7.011194,7.971992,-2.891863,1.890278,-4.935532,-2.984113,5.859636,-4.153205,2.451365,5.006201,-9.915129,1.4892,-0.492049,-2.579326,-6.186124,8.572657,8.266508,-4.967732,822.16,1
125200,5.084111,5.714513,0.057834,1.607423,9.82044,2.659669,5.819308,7.803849,-0.141252,-1.162844,-6.478047,-3.793001,-2.820482,-2.925637,1.917821,9.124263,-6.876984,8.093646,5.300296,6.201514,0.230756,5.532165,-3.492644,3.161896,-6.004877,-0.015616,8.739253,-6.857733,690.5,0
118361,-3.959514,7.43344,9.538943,1.00959,8.579562,9.7377,2.279427,-2.980448,-0.640798,-6.705972,5.42873,-7.368686,1.019885,-2.854481,4.069944,-0.062171,9.405263,-5.677482,7.502461,-6.332128,-1.428065,3.806212,3.260142,0.307198,-9.308683,-1.72238,-4.603177,7.91877,941.24,0
